X	Y	Z	Layer
-125.114208	-6.466467	448.916245	2
-125.129685	-6.983446	448.917625	2
-125.145163	-7.500424	448.919005	2
-125.160640	-8.017403	448.920386	2
-125.176117	-8.534382	448.921766	2
-125.191595	-9.051361	448.923146	2
-125.207072	-9.568339	448.924526	2
-125.222550	-10.085318	448.925907	2
-125.238027	-10.602297	448.927287	2
-125.253504	-11.119276	448.928667	2
-125.268982	-11.636254	448.930048	2
-125.284459	-12.153233	448.931428	2
-125.299936	-12.670212	448.932808	2
-125.315414	-13.187191	448.934188	2
-125.330891	-13.704169	448.935569	2
-125.346369	-14.221148	448.936949	2
-125.361846	-14.738127	448.938329	2
-125.377323	-15.255106	448.939710	2
-125.392801	-15.772084	448.941090	2
-125.408278	-16.289063	448.942470	2
-125.423756	-16.806042	448.943850	2
-125.439233	-17.323021	448.945231	2
-125.454710	-17.839999	448.946611	2
-125.470188	-18.356978	448.947991	2
-125.485665	-18.873957	448.949372	2
-125.501142	-19.390936	448.950752	2
-125.516620	-19.907914	448.952132	2
-125.532097	-20.424893	448.953512	2
-125.547575	-20.941872	448.954893	2
-125.563052	-21.458851	448.956273	2
-125.243216	-21.545131	448.953303	2
-124.858526	-21.199442	448.948664	2
-124.456142	-20.877229	448.944936	2
-123.998158	-20.645613	448.944552	2
-123.503865	-20.493372	448.946929	2
-123.005659	-20.356089	448.948347	2
-122.496048	-20.280925	448.945848	2
-121.979040	-20.267867	448.939488	2
-121.462001	-20.255627	448.934593	2
-120.944949	-20.248425	448.938702	2
-120.427979	-20.247783	448.954532	2
-119.911001	-20.246960	448.970037	2
-119.393956	-20.243156	448.980209	2
-118.876820	-20.234342	448.981412	2
-118.359685	-20.225527	448.982614	2
-117.842732	-20.212137	448.979397	2
-117.326154	-20.189572	448.967315	2
-116.809613	-20.166440	448.954687	2
-116.293049	-20.142892	448.948000	2
-115.776459	-20.118425	448.954442	2
-115.259916	-20.093772	448.963569	2
-114.743199	-20.073337	448.970683	2
-114.226097	-20.063312	448.972826	2
-113.708922	-20.057107	448.973146	2
-113.191736	-20.052812	448.972896	2
-112.674533	-20.053930	448.971032	2
-112.157345	-20.058094	448.968260	2
-111.640152	-20.060796	448.965365	2
-111.122962	-20.058541	448.962054	2
-110.605801	-20.052315	448.958411	2
-110.088698	-20.043296	448.954495	2
-109.572027	-20.022081	448.949392	2
-109.056014	-19.987475	448.942987	2
-108.539941	-19.953741	448.936867	2
-108.023542	-19.925684	448.932607	2
-107.506708	-19.905946	448.931070	2
-106.989864	-19.886498	448.929646	2
-106.472904	-19.871672	448.930006	2
-105.955739	-19.865830	448.933837	2
-105.438574	-19.859988	448.937667	2
-104.921446	-19.859043	448.937885	2
-104.404412	-19.869733	448.929516	2
-103.887402	-19.881136	448.920622	2
-103.370387	-19.892908	448.916025	2
-102.853375	-19.905638	448.922568	2
-102.336400	-19.918566	448.931433	2
-101.819382	-19.924939	448.937609	2
-101.302345	-19.912499	448.936068	2
-100.785525	-19.892877	448.931580	2
-100.268627	-19.875908	448.929655	2
-99.751542	-19.867557	448.936051	2
-99.234464	-19.864345	448.947405	2
-98.717384	-19.861100	448.958629	2
-98.200294	-19.857731	448.969356	2
-97.683196	-19.854256	448.979656	2
-97.166080	-19.851666	448.989062	2
-96.648916	-19.853357	448.994151	2
-96.131749	-19.860233	448.994009	2
-95.614579	-19.866779	448.993897	2
-95.097389	-19.870948	448.994006	2
-94.580177	-19.871112	448.994490	2
-94.062965	-19.871199	448.994865	2
-93.545774	-19.869658	448.992982	2
-93.028641	-19.864253	448.985735	2
-92.511508	-19.858848	448.978488	2
-91.994430	-19.850319	448.972771	2
-91.477516	-19.832814	448.971453	2
-90.960626	-19.814594	448.970485	2
-90.444056	-19.792141	448.964474	2
-89.928538	-19.756508	448.942762	2
-89.413402	-19.717791	448.917369	2
-88.897801	-19.685020	448.897250	2
-88.380786	-19.672545	448.895122	2
-87.863618	-19.668560	448.900513	2
-87.346441	-19.666531	448.904708	2
-86.829268	-19.671961	448.904339	2
-86.312169	-19.682255	448.900994	2
-85.795084	-19.693137	448.899433	2
-85.278107	-19.706627	448.905789	2
-84.761329	-19.722608	448.919709	2
-84.244524	-19.738155	448.933007	2
-83.727583	-19.751304	448.942871	2
-83.210491	-19.761178	448.948041	2
-82.693375	-19.769735	448.952437	2
-82.176351	-19.767532	448.950499	2
-81.659865	-19.744203	448.936125	2
-81.143371	-19.720999	448.921843	2
