X	Y	Z	Layer
-40.292748	35.510622	448.936108	1
-40.471634	35.025340	448.932984	1
-40.654247	34.541444	448.932954	1
-40.839992	34.058745	448.935532	1
-41.026285	33.576257	448.938561	1
-41.213508	33.094134	448.942213	1
-41.400940	32.612094	448.946004	1
-41.587745	32.129798	448.947564	1
-41.773649	31.647156	448.945942	1
-41.959376	31.164446	448.943695	1
-42.145251	30.681791	448.941870	1
-42.331182	30.199157	448.940207	1
-42.517457	29.716654	448.939524	1
-42.704617	29.234498	448.941382	1
-42.891974	28.752419	448.943809	1
-43.079889	28.270556	448.945855	1
-43.268166	27.788833	448.947654	1
-43.457045	27.307344	448.949041	1
-43.649564	26.827304	448.947935	1
-43.842990	26.347625	448.946208	1
-44.035494	25.867576	448.944436	1
-44.227017	25.387135	448.942616	1
-44.418342	24.906614	448.940786	1
-44.605250	24.424366	448.938741	1
-44.790841	23.941603	448.936632	1
-44.979081	23.459866	448.935413	1
-45.172169	22.980055	448.935812	1
-45.366402	22.500699	448.936592	1
-45.566997	22.023995	448.939510	1
-45.770842	21.548665	448.943522	1
-45.975000	21.073466	448.947302	1
-46.178797	20.598105	448.949762	1
-46.382498	20.122700	448.951868	1
-46.586071	19.647238	448.953506	1
-46.789539	19.171730	448.954759	1
-46.991709	18.695669	448.955886	1
-47.177164	18.212947	448.956349	1
-47.357646	17.728247	448.956614	1
-47.535695	17.242649	448.956783	1
-47.710493	16.755872	448.956824	1
-47.884511	16.268814	448.956835	1
-48.077427	15.789067	448.958770	1
-48.278118	15.312388	448.961500	1
-48.480201	14.836297	448.964359	1
-48.684192	14.361023	448.967381	1
-48.888718	13.885977	448.970450	1
-49.084369	13.407233	448.971584	1
-49.274161	12.926105	448.971445	1
-49.462621	12.444451	448.970967	1
-49.649263	11.962091	448.969831	1
-49.835328	11.479508	448.968486	1
-50.014361	10.994308	448.964612	1
-50.186120	10.506502	448.958134	1
-50.356224	10.018113	448.951065	1
-50.528617	9.530520	448.944774	1
-50.701815	9.043206	448.938758	1
-50.880642	8.557924	448.934667	1
-51.068796	8.076176	448.933786	1
-51.259593	7.595442	448.933817	1
-51.449296	7.114276	448.934259	1
-51.638410	6.632878	448.934923	1
-51.825523	6.150703	448.936339	1
-52.006752	5.666308	448.939958	1
-52.186038	5.181183	448.944304	1
-52.365986	4.696300	448.948245	1
-52.546480	4.211617	448.951851	1
-52.727724	3.727212	448.954996	1
-52.914235	3.244814	448.954898	1
-53.102710	2.763167	448.953589	1
-53.293983	2.282627	448.952483	1
-53.488818	1.803520	448.951634	1
-53.684635	1.324809	448.950857	1
-53.890403	0.850341	448.950805	1
-54.100713	0.377818	448.951085	1
-54.316672	-0.092131	448.952806	1
-54.543964	-0.556652	448.957521	1
-54.775028	-1.019345	448.963233	1
-55.020010	-1.474704	448.969259	1
-55.274424	-1.924966	448.975497	1
-55.541976	-2.367493	448.979161	1
-55.853807	-2.778820	448.972362	1
-56.182356	-3.178129	448.961588	1
-56.543502	-3.547165	448.956391	1
-56.935339	-3.884360	448.956762	1
-57.337674	-4.209352	448.958070	1
-57.781012	-4.471365	448.953716	1
-58.241320	-4.707119	448.947005	1
-58.712630	-4.919411	448.946014	1
-59.198286	-5.096215	448.953471	1
-59.688079	-5.262078	448.963507	2
-60.196259	-5.333981	448.961857	2
-60.712889	-5.356662	448.954109	2
-61.229879	-5.366992	448.944762	2
-61.746739	-5.357036	448.932734	2
-62.263503	-5.339847	448.919752	2
-62.780317	-5.322448	448.921981	2
-63.297050	-5.304900	448.935350	2
-63.813704	-5.285449	448.949384	2
-64.330063	-5.257623	448.957691	2
-64.846296	-5.226358	448.963644	2
-65.362870	-5.206495	448.954042	2
-65.879313	-5.198643	448.928091	2
-66.395731	-5.194816	448.899728	2
-66.912016	-5.208463	448.907245	2
-67.428214	-5.230154	448.931277	2
-67.943636	-5.268033	448.947345	2
-68.456900	-5.330361	448.951319	2
-68.969309	-5.400685	448.951327	2
-69.482269	-5.461978	448.931502	2
-69.995480	-5.518104	448.900350	2
-70.510338	-5.560299	448.877659	2
-71.026999	-5.570324	448.877000	2
-71.544145	-5.567829	448.884912	2
-72.059390	-5.534025	448.903422	2
-72.572496	-5.475252	448.930376	2
-73.086105	-5.419766	448.954748	2
-73.602286	-5.400573	448.960179	2
-74.119480	-5.397600	448.957146	2
-74.636500	-5.392551	448.966697	2
-75.153096	-5.385200	448.990215	2
-75.669592	-5.377700	449.016337	2
-76.186359	-5.381007	449.014432	2
-76.703246	-5.389790	448.998328	2
-77.220338	-5.393419	448.990583	2
-77.737424	-5.388425	448.996822	2
-78.254448	-5.380307	449.008129	2
-78.770353	-5.402490	448.997608	2
-79.285214	-5.444789	448.972593	2
-79.800222	-5.487051	448.950820	2
-80.316011	-5.523418	448.942188	2
-80.832111	-5.557203	448.939309	2
-81.348624	-5.576740	448.950350	2
-81.865238	-5.583641	448.973720	2
-82.381902	-5.587943	448.997040	2
-82.898926	-5.592495	449.006049	2
-83.416114	-5.597173	449.007847	2
-83.933316	-5.598091	449.009369	2
-84.450509	-5.594257	449.010543	2
